type,tag-serial-number,burst-start-timestamp,annotation,eobs_acceleration_sampling_frequency_per_axis,sample-timestamp,acceleration-x,acceleration-y,acceleration-z
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:08.000,1745.0,2319.0,1775.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:08.100,1722.0,2340.0,1792.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:08.200,1746.0,2308.0,1814.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:08.300,1720.0,2268.0,1822.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:08.400,1655.0,2297.0,1835.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:08.500,1673.0,2310.0,1843.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:08.600,1806.0,2360.0,1743.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:08.700,1842.0,2520.0,1683.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:08.800,1868.0,2380.0,1748.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:08.900,1836.0,2398.0,1746.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:09.000,1864.0,2403.0,1726.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:09.100,1862.0,2411.0,1730.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:09.200,1831.0,2415.0,1749.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:09.300,1850.0,2479.0,1795.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:09.400,1844.0,2397.0,1763.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:09.500,1820.0,2378.0,1754.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:09.600,1835.0,2415.0,1753.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:09.700,1828.0,2419.0,1757.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:09.800,1833.0,2416.0,1759.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:09.900,1822.0,2408.0,1762.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:10.000,1821.0,2413.0,1762.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:10.100,1821.0,2409.0,1755.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:10.200,1831.0,2412.0,1763.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:10.300,1826.0,2405.0,1762.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:10.400,1808.0,2408.0,1765.0
acc,0,2020-07-21 00:25:08.000,"keep",10.0,2020-07-21 00:25:10.500,1823.0,2403.0,1761.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:20.000,1804.0,2397.0,1764.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:20.100,1813.0,2404.0,1767.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:20.200,1806.0,2406.0,1764.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:20.300,1809.0,2401.0,1761.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:20.400,1807.0,2414.0,1770.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:20.500,1813.0,2402.0,1773.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:20.600,1805.0,2402.0,1762.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:20.700,1821.0,2416.0,1778.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:20.800,1804.0,2408.0,1775.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:20.900,1782.0,2405.0,1778.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:21.000,1797.0,2407.0,1764.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:21.100,1791.0,2397.0,1773.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:21.200,1800.0,2394.0,1780.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:21.300,1795.0,2412.0,1778.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:21.400,1801.0,2399.0,1783.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:21.500,1800.0,2405.0,1773.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:21.600,1808.0,2404.0,1777.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:21.700,1801.0,2407.0,1769.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:21.800,1802.0,2404.0,1775.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:21.900,1805.0,2402.0,1774.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:22.000,1792.0,2404.0,1768.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:22.100,1796.0,2395.0,1769.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:22.200,1798.0,2406.0,1768.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:22.300,1797.0,2401.0,1766.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:22.400,1818.0,2420.0,1777.0
acc,0,2020-07-21 00:25:20.000,"keep",10.0,2020-07-21 00:25:22.500,1809.0,2438.0,1782.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:40.000,1847.0,2410.0,1754.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:40.100,1836.0,2402.0,1745.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:40.200,1828.0,2424.0,1757.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:40.300,1836.0,2404.0,1748.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:40.400,1818.0,2404.0,1745.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:40.500,1824.0,2395.0,1754.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:40.600,1832.0,2409.0,1751.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:40.700,1826.0,2411.0,1748.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:40.800,1824.0,2408.0,1749.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:40.900,1820.0,2410.0,1743.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:41.000,1829.0,2395.0,1756.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:41.100,1823.0,2402.0,1748.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:41.200,1835.0,2408.0,1749.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:41.300,1831.0,2409.0,1743.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:41.400,1835.0,2396.0,1742.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:41.500,1853.0,2393.0,1750.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:41.600,1750.0,2322.0,1730.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:41.700,1823.0,2391.0,1765.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:41.800,1807.0,2387.0,1734.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:41.900,1836.0,2421.0,1763.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:42.000,1820.0,2400.0,1755.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:42.100,1827.0,2409.0,1755.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:42.200,1818.0,2405.0,1746.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:42.300,1824.0,2399.0,1758.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:42.400,1820.0,2403.0,1753.0
acc,0,2020-07-21 00:25:40.000,"keep",10.0,2020-07-21 00:25:42.500,1814.0,2404.0,1756.0
acc,0,2020-07-21 00:26:07.000,"keep",10.0,2020-07-21 00:26:07.000,1769.0,2391.0,1789.0
acc,0,2020-07-21 00:26:07.000,"keep",10.0,2020-07-21 00:26:07.100,1770.0,2397.0,1788.0
acc,0,2020-07-21 00:26:07.000,"keep",10.0,2020-07-21 00:26:07.200,1778.0,2397.0,1788.0
acc,0,2020-07-21 00:26:07.000,"keep",10.0,2020-07-21 00:26:07.300,1763.0,2396.0,1790.0
acc,0,2020-07-21 00:26:07.000,"keep",10.0,2020-07-21 00:26:07.400,1770.0,2396.0,1789.0
acc,0,2020-07-21 00:26:07.000,"keep",10.0,2020-07-21 00:26:07.500,1782.0,2394.0,1791.0
acc,0,2020-07-21 00:26:07.000,"keep",10.0,2020-07-21 00:26:07.600,1773.0,2391.0,1788.0
acc,0,2020-07-21 00:26:07.000,"keep",10.0,2020-07-21 00:26:07.700,1766.0,2395.0,1789.0
