"","dog","no.days","date","day","time","longitude","latitude","height","fix.type","fix.status","gps.flag","gps.noise","time.to.fix","date.2nd","day.2nd","time.2nd","batt","temp","speed","heading","speed.inaccuracy","heading.inaccuracy"
"34","GPS",4888,"21.7.2020","Tu","01:34:31",103.7523253,1.3936581,15.3,3,"A",1,106,6,"21.7.2020","Tu","01:34:38",3625,23,0.24,196.61,0.75,12.29
"35","GPS",4888,"21.7.2020","Tu","01:35:01",103.7524023,1.3936367,31.7,3,"A",1,106,6,"21.7.2020","Tu","01:35:08",3608,23,0.28,0,1.21,13.31
"36","GPS",4888,"21.7.2020","Tu","01:35:31",103.7524106,1.3936497,26.9,3,"A",1,107,6,"21.7.2020","Tu","01:35:37",3605,23,0.07,0,0.65,11.26
"37","GPS",4888,"21.7.2020","Tu","01:36:01",103.7523598,1.3936626,11.7,3,"A",1,106,4,"21.7.2020","Tu","01:36:06",3608,23,0.29,290.98,0.68,15.1
"38","GPS",4888,"21.7.2020","Tu","01:36:30",103.7524,1.3936447,16.2,3,"A",1,111,7,"21.7.2020","Tu","01:36:37",3608,23,0.06,248.38,0.61,7.68
"39","GPS",4888,"21.7.2020","Tu","01:37:01",103.7523463,1.3936169,14,3,"A",1,104,8,"21.7.2020","Tu","01:37:09",3608,23,0.36,0,0.62,8.96
"40","GPS",4888,"21.7.2020","Tu","01:38:00",103.7524004,1.3936415,25.2,3,"A",1,105,5,"21.7.2020","Tu","01:38:06",3615,22,0.15,0,0.6,8.45
"41","GPS",4888,"21.7.2020","Tu","01:39:01",103.7524913,1.3933977,19.6,3,"A",1,106,4,"21.7.2020","Tu","01:39:06",3623,23,1.01,186.12,0.58,8.96
"42","GPS",4888,"21.7.2020","Tu","01:40:00",103.7526003,1.3926906,20.5,3,"A",1,107,7,"21.7.2020","Tu","01:40:07",3623,23,1.1,180.88,0.35,7.17
"43","GPS",4888,"21.7.2020","Tu","01:41:00",103.7527389,1.3919709,27.1,3,"A",1,108,7,"21.7.2020","Tu","01:41:08",3623,23,0.89,161.22,0.63,12.03
"44","GPS",4888,"21.7.2020","Tu","01:42:01",103.752341,1.391415,21.3,3,"A",1,118,13,"21.7.2020","Tu","01:42:15",3623,23,0.87,209.06,0.87,17.66
"45","GPS",4888,"21.7.2020","Tu","01:43:00",103.7525695,1.3907397,28.2,3,"A",1,110,13,"21.7.2020","Tu","01:43:14",3618,23,1.48,187.43,0.4,10.24
"46","GPS",4888,"21.7.2020","Tu","01:44:01",103.7524575,1.3906363,22.6,3,"A",1,110,9,"21.7.2020","Tu","01:44:11",3615,23,0.53,0,2.13,25.34
