"","dog","behaviour","mean.x","mean.y","mean.z","min.x","min.y","min.z","kurt.x","kurt.y","kurt.z","skew.x","skew.y","skew.z","max.x","max.y","max.z","sd.x","sd.y","sd.z","range.x","range.y","range.z"
"1","belle","forage",2311.1,2026.75,1612.65,2104,1781,1468,3.33509832593965,3.00831357862141,2.60885456957841,0.615813992900459,-0.0907276664298626,-0.189020428879566,2615,2264,1730,121.813446669379,117.280982888823,69.131663093732,511,483,262
"2","belle","forage",2247.9,2110.3,1604.9,2139,1827,1470,2.2389386846352,5.1612214453846,1.95371289806501,0.463063704817342,-1.26250507542465,0.346323842997598,2384,2236,1792,72.0262379093093,93.8094934035547,103.301755220223,245,409,322
"3","belle","forage",2296.05,2099.05,1595.7,2172,1879,1375,2.66420636253299,2.81332379720145,2.8384594648669,0.69752658340839,-0.341986514064806,-0.826793779344388,2509,2277,1730,95.242888945773,97.1593780179871,101.381042554679,337,398,355
"4","belle","forage",2211,2132.2,1627.15,1879,2006,1288,2.78861904300538,2.01974249199222,4.29885616466215,-1.02867074216176,0.349954906342611,-0.961491144467493,2366,2291,1808,146.872662355417,85.9348590503295,121.960422829876,487,285,520
"5","belle","forage",2162.95,2170.8,1570.1,1998,2021,1449,3.53115104694557,4.90994334299881,2.08206092726365,0.822449760237012,1.16025475535833,0.298202486984403,2423,2473,1740,102.20849434264,103.836713920919,85.4356636983581,425,452,291
"6","belle","forage",2235.3,2134.1,1583.1,2070,1949,1309,3.04391585842848,2.07591978917372,3.58110242911165,-0.207937246191218,0.0732412251433135,-0.530210352159346,2419,2314,1741,83.1834371165698,103.986284520705,104.883845527477,349,365,432
"7","belle","forage",2187.9,2131.3,1595.4,1893,1830,1119,2.77591174992476,2.91945883367823,2.87650079632336,0.569465037336559,-0.169013378834336,-0.0123661200170306,2597,2383,2036,186.191723486134,137.7114068585,234.328918627777,704,553,917
"8","belle","forage",2305.25,2238,1646.6,2170,2011,1506,5.96953084577184,2.22614736278797,2.61032382508298,1.6294542383601,0.273647294042259,0.130040595708234,2705,2471,1813,126.887382724749,129.284671619606,78.8859269685298,535,460,307
"9","belle","forage",2183.35,2222.9,1605.1,2078,2059,1515,2.19962564723313,2.28932293133262,2.45855196333759,0.457651983582364,0.240882304835654,0.335583721240488,2332,2369,1720,75.6329606510423,84.9847664367903,52.6616808654922,254,310,205
"10","belle","forage",2176.75,2190.95,1592.4,2083,1981,1504,1.99896713518597,2.29013738670794,2.65872152110823,-0.37401490473677,-0.0124150865043099,0.67010371570863,2259,2381,1721,50.8898449181118,118.127707432075,61.063728574076,176,400,217
"11","belle","forage",2211.6,2357.25,1685.9,2095,2247,1580,2.31703667404063,2.03061720813983,2.42279100352029,0.222563202799276,0.0559689683784187,-0.500714030383156,2366,2461,1762,76.403637279083,63.2121532285483,48.2808668652827,271,214,182
"12","belle","forage",2152.4,2270.55,1604.15,2115,2224,1539,3.12908240517298,2.9449188605516,3.69591526934147,0.988805058772874,0.656216013189634,-0.839400922984606,2207,2343,1642,25.4152875668418,29.4162057018701,24.6838430002939,92,119,103
"13","belle","forage",2087.6,2245.8,1587.7,2009,2113,1458,2.20714519777204,1.96854796041789,2.59072907708034,0.594058256977,-0.048940149199945,-0.624717458662641,2201,2358,1654,57.8067561158,75.5802814718788,54.3972716034061,192,245,196
"14","belle","forage",2117.65,2099,1566.6,1935,1950,1403,2.02572300312129,2.29290075754338,3.38518554310095,-0.798571727690158,0.568072492852927,-0.0733474832714821,2233,2315,1706,100.011196741586,110.372097923343,69.0182279508369,298,365,303
"15","belle","forage",2115.2,2110.4,1549.7,2020,2039,1430,3.29123655562811,3.63556660930267,5.23879910719335,0.0526610720308266,0.685694153614818,-0.440475153306654,2230,2198,1642,47.676100158421,36.293250061134,43.1595570925033,210,159,212
"16","belle","forage",2059.65,2189.75,1583.75,1863,1956,1481,2.17009658601979,2.35696930150019,2.34019634808211,-0.224946517192186,-0.404186436982471,0.250893440874988,2217,2353,1713,102.97024353002,106.455266117795,63.3776276316061,354,397,232
"17","belle","forage",2228.45,2156.05,1582.35,2050,2009,1314,2.24795793415075,7.42038832041078,4.14594080147621,-0.38124947865979,1.81749990340438,0.492361596518024,2364,2520,1938,93.6698991138562,108.783452205215,132.401413174204,314,511,624
"18","belle","forage",2142.05,2165.85,1582.85,1895,2061,1267,2.04188670446468,2.37235813155759,5.25673520726109,-0.384067871619118,0.57925854058804,-0.868619889018367,2355,2335,1791,137.184652739905,79.9764932569828,106.975784274071,460,274,524
"19","belle","lie",1653.45,2120.45,1717.4,1584,1957,1615,3.18442022115759,5.17468182692478,3.31976549720566,0.447138971558052,-0.205102517093586,0.0848759481532314,1746,2263,1834,39.534761519719,60.3432942247499,49.0406920188144,162,306,219
"20","belle","lie",1657.05,2105.45,1722.05,1566,2057,1639,3.37191540575281,3.34416766006272,2.98103192326559,-0.299637782710889,0.270782577326024,-0.388147254206835,1735,2158,1774,38.370047254542,23.7608147122415,34.5474121203098,169,101,135
"21","belle","lie",1663.45,2124.75,1713.55,1575,2028,1661,2.51713580584501,3.12517751666942,2.38728191431167,-0.269404082334181,-0.0659109452564861,0.264435900419681,1743,2215,1775,43.6920744348566,43.4024920458431,32.2987289956871,168,187,114
"22","belle","lie",1746.45,2126.75,1656.25,1630,2009,1546,1.81995539196474,2.57777553975629,2.15174054635612,0.107355099824309,0.277784165258974,0.202112516822385,1873,2305,1786,71.9045236846458,77.3085921554172,63.5443276693315,243,296,240
"23","belle","lie",1632.75,2112.1,1738.6,1591,2057,1644,4.35259705585948,3.29296883427687,3.14731452066815,1.2332491641819,0.542358474458297,-0.420512590730153,1721,2202,1818,30.8832691888257,35.8210464450866,42.0117777972346,130,145,174
"24","belle","lie",1653.25,2113.1,1715.95,1593,2008,1645,2.25071459723015,2.58468123299677,4.40975872478505,-0.118756762468558,-0.0309106271379363,0.816117930837239,1715,2215,1846,33.554158891967,52.6066835857834,45.8997477346582,122,207,201
"25","belle","lie",1658.5,2141.55,1726.05,1583,2088,1623,2.9771143039069,2.28008755194815,3.1385904660782,0.191830408190226,-0.702905009491407,-0.938285089361384,1746,2174,1780,37.5015789141288,27.4542202680447,42.5842508570085,163,86,157
"26","belle","lie",2004.95,2207.45,1605.6,1713,1986,1451,2.53474312362085,3.0033465214444,4.71853861719468,0.138555346266629,-1.01475635350219,1.21218345151669,2347,2324,1910,167.288114215848,97.2773977101729,104.472811874921,634,338,459
"27","belle","lie",1831.45,2183.95,1628.1,1647,1958,1414,2.05079984946021,3.74894198471698,3.42725680670092,0.31091212827015,-1.17345908940154,-0.809616489324934,2112,2285,1747,131.821040968827,91.7751686402557,84.0713356244815,465,327,333
"28","belle","lie",1694.7,2151.45,1692.15,1636,2055,1560,1.8898803979064,4.01587085741743,4.03101187132308,0.310078853692498,0.771625650472296,-0.831837441888628,1774,2297,1773,44.3385302322697,53.8745863337398,48.9922389127524,138,242,213
"29","belle","lie",1677.65,2149.65,1709.5,1630,2113,1649,1.91458757712656,2.84192787660865,2.11903174588694,0.411756344195453,0.988229312068027,-0.406629327370027,1737,2222,1761,34.8640593101111,30.3926497346766,31.7316047000795,107,109,112
"30","belle","lie",1726.3,2142.25,1659.05,1662,2050,1592,2.09705257254893,3.90933070430548,1.9252201821941,0.069886548563596,-0.525033686774325,-0.0751859988349234,1809,2218,1726,41.1775360322131,36.6130189672299,39.526773071852,147,168,134
"31","belle","lie",1702.75,2162.3,1690.4,1635,2111,1617,2.39781496462858,1.96971610973797,2.67533060631966,0.0550420258287067,0.0908161935415186,0.00443087669044796,1761,2205,1766,33.5980497554311,27.3786316985384,36.9471884835924,126,94,149
"32","belle","lie",1693,2169,1698.45,1643,2135,1598,2.55962004287826,1.85785773488728,2.3406727589031,0.305126702260863,-0.211933545420225,-0.497643402816667,1755,2205,1762,29.3329346065405,20.4630604286178,46.9002019970961,112,70,164
