"","burst","var.x","var.y","var.z","burst","index","sg.time","threshold.z","threshold.y","threshold.x"
"53",53,1572.57846153846,671.958461538462,364.326153846154,53,1,2020-07-21 00:42:20,"low","low","high"
"54",54,62.5046153846154,75.6184615384615,21.7661538461538,54,1,2020-07-21 00:42:40,"low","low","low"
"55",55,777.458461538462,127.515384615385,399.833846153846,55,1,2020-07-21 00:43:09,"low","low","low"
"56",56,1531.43384615385,280.493846153846,736.584615384615,56,1,2020-07-21 00:43:20,"low","low","high"
"57",57,903.993846153846,208.221538461538,757.366153846154,57,1,2020-07-21 00:43:40,"low","low","low"
"58",58,204.598461538462,51.1646153846154,280.604615384615,58,1,2020-07-21 00:44:24,"low","low","low"
"59",59,798.044615384615,212.315384615385,282.315384615385,59,1,2020-07-21 00:44:40,"low","low","low"
"60",60,18.3584615384615,10.4246153846154,11.7984615384615,60,1,2020-07-21 00:45:11,"low","low","low"
"61",61,807.433846153846,525.724615384615,1982.09846153846,61,1,2020-07-21 00:45:20,"high","low","low"
"62",62,11.1584615384615,6.79538461538462,12.72,62,1,2020-07-21 00:45:40,"low","low","low"
"63",63,1007.46461538462,1836.31538461538,253.878461538462,63,1,2020-07-21 06:20:39,"low","high","high"
"64",64,12.2215384615385,18.9184615384615,9.51384615384615,64,1,2020-07-21 06:21:10,"low","low","low"
"65",65,4685.06461538462,2470.73846153846,804.66,65,1,2020-07-21 06:21:20,"low","high","high"
"66",66,7587.95846153846,12847.7738461538,5823.69846153846,66,1,2020-07-21 06:21:40,"high","high","high"
"67",67,6467.71846153846,9170.06153846154,2711.99384615385,67,1,2020-07-21 06:22:30,"high","high","high"
"68",68,9378.76461538462,15210.7261538462,5264.04461538462,68,1,2020-07-21 06:22:40,"high","high","high"
"69",69,22998.9246153846,14727.5938461538,9800.20461538461,69,1,2020-07-21 06:23:48,"high","high","high"
"70",70,12487.4584615385,13406.8246153846,4722.00615384615,70,1,2020-07-21 06:24:17,"high","high","high"
"71",71,6109.65538461538,13356.7953846154,2023.24461538462,71,1,2020-07-21 06:24:46,"high","high","high"
"72",72,19566.2046153846,9348.03846153846,5174.61538461538,72,1,2020-07-21 06:25:11,"high","high","high"
"73",73,8447.12615384615,9635.25538461538,4637.92153846154,73,1,2020-07-21 06:25:20,"high","high","high"
"74",74,5585.44,12128.7138461538,4306.34615384615,74,1,2020-07-21 06:26:20,"high","high","high"
"75",75,7524.93538461538,14831.1815384615,2993.61384615385,75,1,2020-07-21 06:26:40,"high","high","high"
"76",76,176.233846153846,807.938461538462,269.921538461538,76,1,2020-07-21 06:27:17,"low","low","low"
"77",77,471.741538461538,552.338461538462,391.606153846154,77,1,2020-07-21 06:27:40,"low","low","low"
"78",78,70.7953846153846,51.0584615384615,18.3261538461538,78,1,2020-07-21 06:28:09,"low","low","low"
"79",79,182.978461538462,145.015384615385,53.1461538461538,79,1,2020-07-21 06:28:20,"low","low","low"
"80",80,106.333846153846,114.178461538462,32.3815384615385,80,1,2020-07-21 06:28:40,"low","low","low"
