"","type","tag.serial.number","burst.start.timestamp","annotation","eobs_acceleration_sampling_frequency_per_axis","sample.timestamp","acceleration.x","acceleration.y","acceleration.z"
"51","acc",0,"2020-07-21 00:25:20.000","keep",10,"2020-07-21 00:25:22.400",1818,2420,1777
"52","acc",0,"2020-07-21 00:25:20.000","keep",10,"2020-07-21 00:25:22.500",1809,2438,1782
"53","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:40.000",1847,2410,1754
"54","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:40.100",1836,2402,1745
"55","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:40.200",1828,2424,1757
"56","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:40.300",1836,2404,1748
"57","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:40.400",1818,2404,1745
"58","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:40.500",1824,2395,1754
"59","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:40.600",1832,2409,1751
"60","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:40.700",1826,2411,1748
"61","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:40.800",1824,2408,1749
"62","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:40.900",1820,2410,1743
"63","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:41.000",1829,2395,1756
"64","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:41.100",1823,2402,1748
"65","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:41.200",1835,2408,1749
"66","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:41.300",1831,2409,1743
"67","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:41.400",1835,2396,1742
"68","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:41.500",1853,2393,1750
"69","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:41.600",1750,2322,1730
"70","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:41.700",1823,2391,1765
"71","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:41.800",1807,2387,1734
"72","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:41.900",1836,2421,1763
"73","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:42.000",1820,2400,1755
"74","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:42.100",1827,2409,1755
"75","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:42.200",1818,2405,1746
"76","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:42.300",1824,2399,1758
"77","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:42.400",1820,2403,1753
"78","acc",0,"2020-07-21 00:25:40.000","keep",10,"2020-07-21 00:25:42.500",1814,2404,1756
"79","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:07.000",1769,2391,1789
"80","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:07.100",1770,2397,1788
"81","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:07.200",1778,2397,1788
"82","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:07.300",1763,2396,1790
"83","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:07.400",1770,2396,1789
"84","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:07.500",1782,2394,1791
"85","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:07.600",1773,2391,1788
"86","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:07.700",1766,2395,1789
"87","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:07.800",1776,2395,1789
"88","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:07.900",1777,2393,1788
"89","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:08.000",1769,2392,1787
"90","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:08.100",1773,2393,1790
"91","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:08.200",1778,2395,1789
"92","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:08.300",1770,2393,1786
"93","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:08.400",1770,2395,1783
"94","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:08.500",1776,2396,1787
"95","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:08.600",1769,2395,1787
"96","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:08.700",1773,2391,1786
"97","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:08.800",1779,2398,1784
"98","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:08.900",1771,2396,1790
"99","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:09.000",1773,2395,1784
