"","behaviour","burst","mean.x","mean.y","mean.z","min.x","min.y","min.z","kurt.x","kurt.y","kurt.z","skew.x","skew.y","skew.z","max.x","max.y","max.z","sd.x","sd.y","sd.z","range.x","range.y","range.z"
"1","eat",1,2968.48112805447,2322.04363877486,2873.50112055612,707.344325515683,1724.6203159804,971.76864892696,-1.02916004673363,-1.53808858204769,-1.76872383542818,0.861051787703062,-0.312674983542695,-0.00865247187908396,7985.33279199306,2903.01304519146,4719.5466731392,2572.43029990941,423.998341548501,1429.23436116288,7277.98846647737,1178.39272921106,3747.77802421224
"2","eat",2,19187.2059824455,25562.0053899477,3979.88679505789,12051.9488895902,5615.6485867664,2203.01950548848,-0.407146711847226,-1.76817955831095,-1.37124100259278,0.856932028908641,-0.189748061850052,-0.215731818541472,34061.1268337151,39546.1564212326,5482.49320110375,6847.65837790444,13086.1517799692,1094.67880650356,22009.1779441249,33930.5078344662,3279.47369561528
"3","eat",3,21558.8623689864,12981.5457871953,8345.41362317462,12106.9532327071,1735.21383551838,748.110234481639,-1.58551032364061,-1.82664802091832,-1.78041510736238,0.148877366362197,-0.191075511237084,-0.00828693915034571,32422.9151264404,22056.4275940868,16075.2099109446,6991.7672688912,7985.10002583241,5970.56091460661,20315.9618937333,20321.2137585684,15327.0996764629
"4","eat",4,7679.38194025335,5143.8886863666,4940.18881590485,5677.6162570246,3668.00332146105,570.818837878475,-1.71109418417577,-1.28810149635018,-1.6075206928789,-0.0350943440525208,0.582985444622622,-0.288952124880059,9385.81550226907,7230.0587676344,8210.08557648604,1414.29087473651,1172.93557854774,2632.1930684617,3708.19924524447,3562.05544617335,7639.26673860756
"5","eat",5,17077.7818923766,3009.94565441854,7688.45760874746,12372.0773017751,2134.42076198853,3132.49500581625,-1.41353586934249,-1.29497712821276,-1.8194294097538,0.213885629386475,-0.687664455257092,0.281563427645986,23117.1485944483,3484.81067243925,13901.3343081926,3531.54883562737,477.282702474951,4413.61314147095,10745.0712926732,1350.38991045072,10768.8393023763
"6","eat",6,13814.6893955736,3601.15057541043,5900.35314620449,4535.48429044119,692.396348765108,2230.9723084328,-1.70271797294236,-1.77621830818876,-0.558554838683579,-0.138566342007998,0.256279572666647,0.757082044969725,22033.3902171384,7782.14813076317,11921.8587201284,6350.40148274401,2819.06981660615,2868.79757460552,17497.9059266972,7089.75178199806,9690.88641169558
"7","eat",7,18721.5632576894,6783.42390723975,5015.43517324412,10155.8992541369,2147.14562837561,2546.32446418311,-0.890591298299143,-1.92811991316534,-1.02697454778192,0.631087250047294,-0.107534156161474,-0.609402865678231,33874.5375224736,11291.9850791473,6371.55770685155,7586.03060416251,3660.80626091663,1256.82841399731,23718.6382683367,9144.83945077174,3825.23324266844
"8","eat",8,10083.1671276748,7820.41061937894,13044.1157551257,3688.4549838893,3853.72733577103,3542.41589082826,-1.87405144829111,-1.23926586157984,-1.79933506610615,0.17035214758045,-0.607701665223378,0.342007872230666,17756.4886662475,10442.0260094652,27258.4794059934,5539.62413863417,2208.68582681302,9618.62895627383,14068.0336823582,6588.29867369421,23716.0635151652
"9","eat",9,11366.8585222051,8476.25823354926,6120.46204697969,8839.86310503602,3448.24400334232,2283.73302453506,0.559534166668399,-1.81941994819005,-1.88810974536429,-1.15869441009713,-0.420549624028206,0.0519951843849583,12529.5014484302,11828.9118198915,10228.4384753014,1053.69671516434,3501.65032206268,3266.43911011822,3689.63834339421,8380.66781654918,7944.70545076636
"10","eat",10,25663.5953466659,11602.3044696735,14218.2576280992,9822.84141265423,2382.77531010863,3376.73020778806,-0.852093814122732,-1.25733748512335,-1.14692787319693,0.912359636438966,-0.532668100610496,0.794475258707949,56909.4099623449,17591.0259947175,40561.1663193725,16082.6513238144,5044.03948018988,14089.7999755448,47086.5685496907,15208.2506846089,37184.4361115844
